集計年,都道府県コード,都道府県名,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2021,01,北海道,I,卸売業，小売業,65～69歳,22.61,19.18,290.5
2021,01,北海道,I,卸売業，小売業,70歳～,17.56,15.95,226.67
2021,01,北海道,J,金融業，保険業,年齢計,33.49,122.7,524.58
2021,01,北海道,J,金融業，保険業,～19歳,16.81,0.08,201.8
2021,01,北海道,J,金融業，保険業,20～24歳,21.05,43.5,296.1
2021,01,北海道,J,金融業，保険業,25～29歳,24.27,82.02,373.26
2021,01,北海道,J,金融業，保険業,30～34歳,27.64,98.31,429.99
2021,01,北海道,J,金融業，保険業,35～39歳,33.33,136.23,536.19
2021,01,北海道,J,金融業，保険業,40～44歳,37.17,148.77,594.81
2021,01,北海道,J,金融業，保険業,45～49歳,41.77,152.84,654.08
2021,01,北海道,J,金融業，保険業,50～54歳,44.65,193.25,729.05
2021,01,北海道,J,金融業，保険業,55～59歳,37.32,138.81,586.65
2021,01,北海道,J,金融業，保険業,60～64歳,27.56,76.41,407.13
2021,01,北海道,J,金融業，保険業,65～69歳,26.51,56.49,374.61
2021,01,北海道,J,金融業，保険業,70歳～,28.39,92.18,432.86
2021,01,北海道,K,不動産業，物品賃貸業,年齢計,28.57,74.76,417.6
2021,01,北海道,K,不動産業，物品賃貸業,～19歳,17.35,23.25,231.45
2021,01,北海道,K,不動産業，物品賃貸業,20～24歳,20.97,39.35,290.99
2021,01,北海道,K,不動産業，物品賃貸業,25～29歳,22.71,70.77,343.29
2021,01,北海道,K,不動産業，物品賃貸業,30～34歳,25.85,67.2,377.4
2021,01,北海道,K,不動産業，物品賃貸業,35～39歳,29.08,91.23,440.19
2021,01,北海道,K,不動産業，物品賃貸業,40～44歳,31.72,89.35,469.99
2021,01,北海道,K,不動産業，物品賃貸業,45～49歳,34.72,106.26,522.9
2021,01,北海道,K,不動産業，物品賃貸業,50～54歳,35.04,108.34,528.82
2021,01,北海道,K,不動産業，物品賃貸業,55～59歳,31.81,81.91,463.63
2021,01,北海道,K,不動産業，物品賃貸業,60～64歳,29.39,44.96,397.64
2021,01,北海道,K,不動産業，物品賃貸業,65～69歳,19.75,12.47,249.47
2021,01,北海道,K,不動産業，物品賃貸業,70歳～,17.17,12.8,218.84
2021,01,北海道,L,学術研究，専門・技術サービス業,年齢計,34.1,120.87,530.07
2021,01,北海道,L,学術研究，専門・技術サービス業,～19歳,18.1,15.75,232.95
2021,01,北海道,L,学術研究，専門・技術サービス業,20～24歳,20.9,55.28,306.08
2021,01,北海道,L,学術研究，専門・技術サービス業,25～29歳,24.78,73.52,370.88
2021,01,北海道,L,学術研究，専門・技術サービス業,30～34歳,26.91,91.48,414.4
2021,01,北海道,L,学術研究，専門・技術サービス業,35～39歳,28.82,136.34,482.18
2021,01,北海道,L,学術研究，専門・技術サービス業,40～44歳,32.96,139.09,534.61
2021,01,北海道,L,学術研究，専門・技術サービス業,45～49歳,42.03,171.83,676.19
2021,01,北海道,L,学術研究，専門・技術サービス業,50～54歳,39.13,155.75,625.31
2021,01,北海道,L,学術研究，専門・技術サービス業,55～59歳,45.29,144.46,687.94
2021,01,北海道,L,学術研究，専門・技術サービス業,60～64歳,36.8,73.97,515.57
2021,01,北海道,L,学術研究，専門・技術サービス業,65～69歳,35.8,34.23,463.83
2021,01,北海道,L,学術研究，専門・技術サービス業,70歳～,31.38,94.89,471.45
2021,01,北海道,M,宿泊業，飲食サービス業,年齢計,23.83,19.08,305.04
2021,01,北海道,M,宿泊業，飲食サービス業,～19歳,22.14,29.45,295.13
2021,01,北海道,M,宿泊業，飲食サービス業,20～24歳,19.13,4.66,234.22
2021,01,北海道,M,宿泊業，飲食サービス業,25～29歳,20.48,14.17,259.93
2021,01,北海道,M,宿泊業，飲食サービス業,30～34歳,21.9,12.24,275.04
2021,01,北海道,M,宿泊業，飲食サービス業,35～39歳,23.84,17.42,303.5
2021,01,北海道,M,宿泊業，飲食サービス業,40～44歳,26.2,27.07,341.47
2021,01,北海道,M,宿泊業，飲食サービス業,45～49歳,24.85,28.89,327.09
2021,01,北海道,M,宿泊業，飲食サービス業,50～54歳,28.05,25.13,361.73
2021,01,北海道,M,宿泊業，飲食サービス業,55～59歳,27.01,29.72,353.84
2021,01,北海道,M,宿泊業，飲食サービス業,60～64歳,23.31,17.7,297.42
2021,01,北海道,M,宿泊業，飲食サービス業,65～69歳,22.24,1.25,268.13
2021,01,北海道,M,宿泊業，飲食サービス業,70歳～,17.31,0,207.72
2021,01,北海道,N,生活関連サービス業，娯楽業,年齢計,24.01,27.74,315.86
2021,01,北海道,N,生活関連サービス業，娯楽業,～19歳,15.98,9.29,201.05
2021,01,北海道,N,生活関連サービス業，娯楽業,20～24歳,19.76,12.87,249.99
2021,01,北海道,N,生活関連サービス業，娯楽業,25～29歳,21.24,15.28,270.16
2021,01,北海道,N,生活関連サービス業，娯楽業,30～34歳,22.51,26.8,296.92
2021,01,北海道,N,生活関連サービス業，娯楽業,35～39歳,27.01,34.4,358.52
2021,01,北海道,N,生活関連サービス業，娯楽業,40～44歳,27.65,46.59,378.39
2021,01,北海道,N,生活関連サービス業，娯楽業,45～49歳,29.02,44.83,393.07
2021,01,北海道,N,生活関連サービス業，娯楽業,50～54歳,25.04,31.87,332.35
2021,01,北海道,N,生活関連サービス業，娯楽業,55～59歳,27.01,20.71,344.83
2021,01,北海道,N,生活関連サービス業，娯楽業,60～64歳,22.24,30.74,297.62
2021,01,北海道,N,生活関連サービス業，娯楽業,65～69歳,17.15,5.9,211.7
2021,01,北海道,N,生活関連サービス業，娯楽業,70歳～,15.52,1.75,187.99
2021,01,北海道,O,教育，学習支援業,年齢計,34.8,112.17,529.77
2021,01,北海道,O,教育，学習支援業,～19歳,-,-,-
2021,01,北海道,O,教育，学習支援業,20～24歳,21.01,46.66,298.78
2021,01,北海道,O,教育，学習支援業,25～29歳,25.2,62.64,365.04
2021,01,北海道,O,教育，学習支援業,30～34歳,27.6,80.71,411.91
2021,01,北海道,O,教育，学習支援業,35～39歳,33.02,93.61,489.85
2021,01,北海道,O,教育，学習支援業,40～44歳,35.97,124.67,556.31
2021,01,北海道,O,教育，学習支援業,45～49歳,39.86,140.91,619.23
2021,01,北海道,O,教育，学習支援業,50～54歳,40.24,163.41,646.29
2021,01,北海道,O,教育，学習支援業,55～59歳,42.2,168.98,675.38
2021,01,北海道,O,教育，学習支援業,60～64歳,45.85,127.94,678.14
2021,01,北海道,O,教育，学習支援業,65～69歳,31.94,75.55,458.83
2021,01,北海道,O,教育，学習支援業,70歳～,30.21,42.28,404.8
2021,01,北海道,P,医療，福祉,年齢計,27.97,72.12,407.76
2021,01,北海道,P,医療，福祉,～19歳,16.78,10.74,212.1
2021,01,北海道,P,医療，福祉,20～24歳,21.1,38.95,292.15
2021,01,北海道,P,医療，福祉,25～29歳,23.77,66.92,352.16
2021,01,北海道,P,医療，福祉,30～34歳,24.95,70.35,369.75
2021,01,北海道,P,医療，福祉,35～39歳,26.29,78.56,394.04
2021,01,北海道,P,医療，福祉,40～44歳,28.02,83.04,419.28
2021,01,北海道,P,医療，福祉,45～49歳,30.21,82.57,445.09
2021,01,北海道,P,医療，福祉,50～54歳,29.64,78.57,434.25
2021,01,北海道,P,医療，福祉,55～59歳,31.17,81.94,455.98
2021,01,北海道,P,医療，福祉,60～64歳,31.56,67.72,446.44
2021,01,北海道,P,医療，福祉,65～69歳,31.69,35.29,415.57
2021,01,北海道,P,医療，福祉,70歳～,64.67,22.83,798.87
2021,01,北海道,Q,複合サービス事業,年齢計,27.89,107.5,442.18
2021,01,北海道,Q,複合サービス事業,～19歳,16.8,19.17,220.77
2021,01,北海道,Q,複合サービス事業,20～24歳,17.8,68.62,282.22
2021,01,北海道,Q,複合サービス事業,25～29歳,20.75,68.79,317.79
2021,01,北海道,Q,複合サービス事業,30～34歳,24.7,102.88,399.28
2021,01,北海道,Q,複合サービス事業,35～39歳,28.46,112.27,453.79
2021,01,北海道,Q,複合サービス事業,40～44歳,31.3,127.87,503.47
2021,01,北海道,Q,複合サービス事業,45～49歳,33.08,141.54,538.5
2021,01,北海道,Q,複合サービス事業,50～54歳,33.02,145.74,541.98
2021,01,北海道,Q,複合サービス事業,55～59歳,33.82,133.44,539.28
2021,01,北海道,Q,複合サービス事業,60～64歳,24.03,63.16,351.52
2021,01,北海道,Q,複合サービス事業,65～69歳,19.53,17.51,251.87
2021,01,北海道,Q,複合サービス事業,70歳～,20.08,14.44,255.4
2021,01,北海道,R,サービス業（他に分類されないもの）,年齢計,23.62,44.52,327.96
2021,01,北海道,R,サービス業（他に分類されないもの）,～19歳,17.54,10.95,221.43
2021,01,北海道,R,サービス業（他に分類されないもの）,20～24歳,19.27,22.32,253.56
2021,01,北海道,R,サービス業（他に分類されないもの）,25～29歳,20.89,26.64,277.32
2021,01,北海道,R,サービス業（他に分類されないもの）,30～34歳,22.38,38.7,307.26
2021,01,北海道,R,サービス業（他に分類されないもの）,35～39歳,26,62.35,374.35
2021,01,北海道,R,サービス業（他に分類されないもの）,40～44歳,25.71,57.07,365.59
2021,01,北海道,R,サービス業（他に分類されないもの）,45～49歳,25.8,62.95,372.55
2021,01,北海道,R,サービス業（他に分類されないもの）,50～54歳,26.53,58.79,377.15
2021,01,北海道,R,サービス業（他に分類されないもの）,55～59歳,24.66,50.07,345.99
2021,01,北海道,R,サービス業（他に分類されないもの）,60～64歳,21.69,28.63,288.91
2021,01,北海道,R,サービス業（他に分類されないもの）,65～69歳,19.37,13.94,246.38
2021,01,北海道,R,サービス業（他に分類されないもの）,70歳～,17.65,8.52,220.32
2021,02,青森県,C,鉱業，採石業，砂利採取業,年齢計,27.72,107.02,439.66
2021,02,青森県,C,鉱業，採石業，砂利採取業,～19歳,-,-,-
2021,02,青森県,C,鉱業，採石業，砂利採取業,20～24歳,22.24,74.2,341.08
2021,02,青森県,C,鉱業，採石業，砂利採取業,25～29歳,21.94,111.98,375.26
2021,02,青森県,C,鉱業，採石業，砂利採取業,30～34歳,25.3,115.03,418.63
2021,02,青森県,C,鉱業，採石業，砂利採取業,35～39歳,31.18,130.84,505
2021,02,青森県,C,鉱業，採石業，砂利採取業,40～44歳,30.06,128.07,488.79
2021,02,青森県,C,鉱業，採石業，砂利採取業,45～49歳,29.22,132.5,483.14
2021,02,青森県,C,鉱業，採石業，砂利採取業,50～54歳,33.31,141.89,541.61
2021,02,青森県,C,鉱業，採石業，砂利採取業,55～59歳,32.67,115.12,507.16
2021,02,青森県,C,鉱業，採石業，砂利採取業,60～64歳,22.24,52.96,319.84
2021,02,青森県,C,鉱業，採石業，砂利採取業,65～69歳,19.16,48,277.92
2021,02,青森県,C,鉱業，採石業，砂利採取業,70歳～,17.64,12,223.68
2021,02,青森県,D,建設業,年齢計,24.75,44.1,341.1
2021,02,青森県,D,建設業,～19歳,18.54,10.01,232.49
2021,02,青森県,D,建設業,20～24歳,18.83,30.02,255.98
2021,02,青森県,D,建設業,25～29歳,22.27,62.32,329.56
2021,02,青森県,D,建設業,30～34歳,23.47,40.52,322.16
2021,02,青森県,D,建設業,35～39歳,25.66,45.47,353.39
2021,02,青森県,D,建設業,40～44歳,25.66,64.48,372.4
2021,02,青森県,D,建設業,45～49歳,25.91,49.89,360.81
2021,02,青森県,D,建設業,50～54歳,26.05,47.69,360.29
2021,02,青森県,D,建設業,55～59歳,27.11,53.68,379
2021,02,青森県,D,建設業,60～64歳,24.31,29.03,320.75
2021,02,青森県,D,建設業,65～69歳,23.92,30,317.04
2021,02,青森県,D,建設業,70歳～,25.3,14.76,318.36
2021,02,青森県,E,製造業,年齢計,23.03,60.66,337.02
2021,02,青森県,E,製造業,～19歳,16.66,13.74,213.66
2021,02,青森県,E,製造業,20～24歳,17.72,43.2,255.84
2021,02,青森県,E,製造業,25～29歳,19.95,54.45,293.85
2021,02,青森県,E,製造業,30～34歳,21.05,61.07,313.67
2021,02,青森県,E,製造業,35～39歳,23.52,67.84,350.08
2021,02,青森県,E,製造業,40～44歳,24.49,70.67,364.55
2021,02,青森県,E,製造業,45～49歳,25.97,70.1,381.74
2021,02,青森県,E,製造業,50～54歳,26.67,77.18,397.22
2021,02,青森県,E,製造業,55～59歳,24.27,67.55,358.79
2021,02,青森県,E,製造業,60～64歳,20.76,32.92,282.04
2021,02,青森県,E,製造業,65～69歳,17.94,15.03,230.31
2021,02,青森県,E,製造業,70歳～,15.02,7.96,188.2
2021,02,青森県,F,電気・ガス・熱供給・水道業,年齢計,26.76,86.55,407.67
2021,02,青森県,F,電気・ガス・熱供給・水道業,～19歳,17.45,27.44,236.84
2021,02,青森県,F,電気・ガス・熱供給・水道業,20～24歳,21.04,71.78,324.26
2021,02,青森県,F,電気・ガス・熱供給・水道業,25～29歳,22.56,73.62,344.34
2021,02,青森県,F,電気・ガス・熱供給・水道業,30～34歳,28.58,78.51,421.47
2021,02,青森県,F,電気・ガス・熱供給・水道業,35～39歳,29.27,101.16,452.4
2021,02,青森県,F,電気・ガス・熱供給・水道業,40～44歳,34.56,118.95,533.67
2021,02,青森県,F,電気・ガス・熱供給・水道業,45～49歳,29,138,486
2021,02,青森県,F,電気・ガス・熱供給・水道業,50～54歳,31.8,110.11,491.71
2021,02,青森県,F,電気・ガス・熱供給・水道業,55～59歳,32.03,104.69,489.05
2021,02,青森県,F,電気・ガス・熱供給・水道業,60～64歳,24.15,40.84,330.64
2021,02,青森県,F,電気・ガス・熱供給・水道業,65～69歳,15.4,0,184.8
2021,02,青森県,F,電気・ガス・熱供給・水道業,70歳～,-,-,-
2021,02,青森県,G,情報通信業,年齢計,27.83,87.02,420.98
2021,02,青森県,G,情報通信業,～19歳,19.08,25.88,254.84
2021,02,青森県,G,情報通信業,20～24歳,19.9,35.99,274.79
2021,02,青森県,G,情報通信業,25～29歳,21.92,62.07,325.11
2021,02,青森県,G,情報通信業,30～34歳,23.88,70.14,356.7
2021,02,青森県,G,情報通信業,35～39歳,25.9,75.77,386.57
2021,02,青森県,G,情報通信業,40～44歳,29.06,104.13,452.85
2021,02,青森県,G,情報通信業,45～49歳,33.87,114.57,521.01
2021,02,青森県,G,情報通信業,50～54歳,35.23,119.73,542.49
2021,02,青森県,G,情報通信業,55～59歳,37.24,131.44,578.32
2021,02,青森県,G,情報通信業,60～64歳,25.69,85.71,393.99
2021,02,青森県,G,情報通信業,65～69歳,15.78,12.06,201.42
2021,02,青森県,G,情報通信業,70歳～,14.1,5,174.2
2021,02,青森県,H,運輸業，郵便業,年齢計,23.38,37.76,318.32
2021,02,青森県,H,運輸業，郵便業,～19歳,16.5,23.82,221.82
2021,02,青森県,H,運輸業，郵便業,20～24歳,21.89,35.1,297.78
2021,02,青森県,H,運輸業，郵便業,25～29歳,21.72,52.55,313.19
2021,02,青森県,H,運輸業，郵便業,30～34歳,23.1,69.84,347.04
2021,02,青森県,H,運輸業，郵便業,35～39歳,22.93,60.57,335.73
2021,02,青森県,H,運輸業，郵便業,40～44歳,24.32,49.44,341.28
2021,02,青森県,H,運輸業，郵便業,45～49歳,25.15,46.86,348.66
2021,02,青森県,H,運輸業，郵便業,50～54歳,24.09,29.73,318.81
2021,02,青森県,H,運輸業，郵便業,55～59歳,23.15,28.68,306.48
2021,02,青森県,H,運輸業，郵便業,60～64歳,22.74,27.03,299.91
2021,02,青森県,H,運輸業，郵便業,65～69歳,21.04,7.35,259.83
2021,02,青森県,H,運輸業，郵便業,70歳～,13.82,12.67,178.51
2021,02,青森県,I,卸売業，小売業,年齢計,23.51,56.12,338.24
2021,02,青森県,I,卸売業，小売業,～19歳,16.38,6.23,202.79
2021,02,青森県,I,卸売業，小売業,20～24歳,18.51,37.81,259.93
2021,02,青森県,I,卸売業，小売業,25～29歳,19.91,56.63,295.55
2021,02,青森県,I,卸売業，小売業,30～34歳,20.47,55.23,300.87
2021,02,青森県,I,卸売業，小売業,35～39歳,23.02,59.97,336.21
2021,02,青森県,I,卸売業，小売業,40～44歳,24.55,70.7,365.3
2021,02,青森県,I,卸売業，小売業,45～49歳,25.48,64.94,370.7
2021,02,青森県,I,卸売業，小売業,50～54歳,30.19,68.25,430.53
2021,02,青森県,I,卸売業，小売業,55～59歳,26.84,51.81,373.89
2021,02,青森県,I,卸売業，小売業,60～64歳,22.13,37.78,303.34
2021,02,青森県,I,卸売業，小売業,65～69歳,21.19,24.64,278.92
2021,02,青森県,I,卸売業，小売業,70歳～,15.87,13.41,203.85
2021,02,青森県,J,金融業，保険業,年齢計,34.1,87.13,496.33
2021,02,青森県,J,金融業，保険業,～19歳,15.59,5.36,192.44
2021,02,青森県,J,金融業，保険業,20～24歳,24.1,36.93,326.13
2021,02,青森県,J,金融業，保険業,25～29歳,27.6,74.03,405.23
2021,02,青森県,J,金融業，保険業,30～34歳,30.41,80.25,445.17
2021,02,青森県,J,金融業，保険業,35～39歳,36.06,97.09,529.81
2021,02,青森県,J,金融業，保険業,40～44歳,36.74,92.56,533.44
2021,02,青森県,J,金融業，保険業,45～49歳,40.34,104.69,588.77
2021,02,青森県,J,金融業，保険業,50～54歳,41.13,118.6,612.16
2021,02,青森県,J,金融業，保険業,55～59歳,36.05,96.66,529.26
2021,02,青森県,J,金融業，保険業,60～64歳,24.08,46.96,335.92
2021,02,青森県,J,金融業，保険業,65～69歳,35.13,71.22,492.78
2021,02,青森県,J,金融業，保険業,70歳～,28.08,70.56,407.52
2021,02,青森県,K,不動産業，物品賃貸業,年齢計,25.87,68.46,378.9
2021,02,青森県,K,不動産業，物品賃貸業,～19歳,16.32,3.83,199.67
2021,02,青森県,K,不動産業，物品賃貸業,20～24歳,18.98,35.94,263.7
2021,02,青森県,K,不動産業，物品賃貸業,25～29歳,20.53,47.63,293.99
2021,02,青森県,K,不動産業，物品賃貸業,30～34歳,21.87,54.2,316.64
2021,02,青森県,K,不動産業，物品賃貸業,35～39歳,26.48,76.89,394.65
2021,02,青森県,K,不動産業，物品賃貸業,40～44歳,25.64,63.9,371.58
2021,02,青森県,K,不動産業，物品賃貸業,45～49歳,28.55,77.75,420.35
2021,02,青森県,K,不動産業，物品賃貸業,50～54歳,29.88,82.25,440.81
2021,02,青森県,K,不動産業，物品賃貸業,55～59歳,31.93,112.81,495.97
2021,02,青森県,K,不動産業，物品賃貸業,60～64歳,27.2,64.3,390.7
2021,02,青森県,K,不動産業，物品賃貸業,65～69歳,28.09,73.42,410.5
2021,02,青森県,K,不動産業，物品賃貸業,70歳～,22.7,43.11,315.51
2021,02,青森県,L,学術研究，専門・技術サービス業,年齢計,27.44,84.52,413.8
2021,02,青森県,L,学術研究，専門・技術サービス業,～19歳,17.05,17.69,222.29
2021,02,青森県,L,学術研究，専門・技術サービス業,20～24歳,18.65,49.33,273.13
2021,02,青森県,L,学術研究，専門・技術サービス業,25～29歳,20.51,67.12,313.24
2021,02,青森県,L,学術研究，専門・技術サービス業,30～34歳,23.75,78.56,363.56
2021,02,青森県,L,学術研究，専門・技術サービス業,35～39歳,26.76,88.14,409.26
2021,02,青森県,L,学術研究，専門・技術サービス業,40～44歳,29.57,99.4,454.24
2021,02,青森県,L,学術研究，専門・技術サービス業,45～49歳,32.96,112.16,507.68
2021,02,青森県,L,学術研究，専門・技術サービス業,50～54歳,33.72,109.87,514.51
2021,02,青森県,L,学術研究，専門・技術サービス業,55～59歳,36.49,107.52,545.4
2021,02,青森県,L,学術研究，専門・技術サービス業,60～64歳,31.16,80.23,454.15
2021,02,青森県,L,学術研究，専門・技術サービス業,65～69歳,23.91,23.97,310.89
2021,02,青森県,L,学術研究，専門・技術サービス業,70歳～,21.12,6.29,259.73
2021,02,青森県,M,宿泊業，飲食サービス業,年齢計,20.28,16.55,259.91
2021,02,青森県,M,宿泊業，飲食サービス業,～19歳,16.04,0,192.48
2021,02,青森県,M,宿泊業，飲食サービス業,20～24歳,17.21,5.81,212.33
2021,02,青森県,M,宿泊業，飲食サービス業,25～29歳,21.18,65.32,319.48
2021,02,青森県,M,宿泊業，飲食サービス業,30～34歳,18.66,14.18,238.1
2021,02,青森県,M,宿泊業，飲食サービス業,35～39歳,18.05,17.79,234.39
2021,02,青森県,M,宿泊業，飲食サービス業,40～44歳,21.21,20.33,274.85
2021,02,青森県,M,宿泊業，飲食サービス業,45～49歳,22.13,19.46,285.02
2021,02,青森県,M,宿泊業，飲食サービス業,50～54歳,22.63,10.96,282.52
2021,02,青森県,M,宿泊業，飲食サービス業,55～59歳,23.95,29.29,316.69
2021,02,青森県,M,宿泊業，飲食サービス業,60～64歳,19.45,5.66,239.06
2021,02,青森県,M,宿泊業，飲食サービス業,65～69歳,16.62,0.08,199.52
2021,02,青森県,M,宿泊業，飲食サービス業,70歳～,19.99,0,239.88
2021,02,青森県,N,生活関連サービス業，娯楽業,年齢計,22.01,25.37,289.49
2021,02,青森県,N,生活関連サービス業，娯楽業,～19歳,15.85,5.07,195.27
